HP 1;HP 10;HP 100;HP 101;HP 102;HP 103;HP 104;HP 106;HP 109;HP 11;HP 110;HP 111;HP 112;HP 113;HP 115;HP 116;HP 117;HP 12;HP 121;HP 122;HP 123;HP 124;HP 125;HP 126;HP 127;HP 128;HP 129;HP 13;HP 130;HP 131;HP 132;HP 133;HP 136;HP 138;HP 139;HP 14;HP 140;HP 141;HP 142;HP 143;HP 144;HP 145;HP 146;HP 15;HP 150;HP 152;HP 153;HP 154;HP 156;HP 157;HP 158;HP 159;HP 16;HP 160;HP 161;HP 162;HP 163;HP 165;HP 166;HP 167;HP 168;HP 17;HP 172;HP 173;HP 174;HP 176;HP 177;HP 178;HP 179;HP 18;HP 180;HP 181;HP 182;HP 184;HP 185;HP 186;HP 187;HP 188;HP 19;HP 192;HP 2;HP 20;HP 21;HP 22;HP 23;HP 24;HP 25;HP 26;HP 27;HP 28;HP 29;HP 30;HP 31;HP 32;HP 33;HP 34;HP 35;HP 36;HP 37;HP 38;HP 39;HP 40;HP 41;HP 42;HP 43;HP 44;HP 45;HP 46;HP 47;HP 48;HP 49;HP 50;HP 51;HP 52;HP 53;HP 54;HP 55;HP 56;HP 57;HP 58;HP 59;HP 6;HP 60;HP 65;HP 67;HP 68;HP 69;HP 7;HP 70;HP 71;HP 72;HP 76;HP 77;HP 8;HP 80;HP 81;HP 82;HP 85;HP 86;HP 87;HP 88;HP 89;HP 9;HP 90;HP 93;HP 95;HP 96;HP 98;HP 99
HP 1;0.000000;401.724182;276.426453;268.306030;289.884094;289.574982;380.799957;407.136627;413.884216;412.874817;151.147430;202.350769;187.666733;187.262146;165.092957;164.596100;164.676819;425.558807;380.839783;363.235046;344.670044;146.779007;181.367935;208.577072;148.382370;183.273788;209.201324;215.143158;315.072021;340.038757;336.589111;318.024109;390.683716;88.193054;139.813354;231.131317;188.229950;399.885742;129.652557;164.799088;301.734711;218.250610;109.790649;306.622894;193.977722;358.785339;325.421082;335.861572;228.447418;292.998260;297.277191;252.858627;290.628754;290.655182;387.592407;409.571381;423.021057;294.726318;456.760315;306.839722;214.354187;294.586853;286.923889;451.395020;431.423615;310.837616;225.543152;479.184021;258.003662;278.587708;272.972778;417.111267;224.705368;239.165695;48.375488;118.633896;120.953804;166.832733;285.784393;481.562408;57.726318;269.785736;255.604492;359.318542;276.163666;299.439728;329.138611;305.862549;273.351196;138.274750;184.300385;171.001007;228.851685;215.552307;133.641235;123.574188;112.982361;101.837463;195.244476;181.679596;143.866730;129.403656;123.307861;146.052795;135.789093;203.240601;219.395233;244.199768;200.656677;212.324921;160.250580;291.260559;307.626587;312.284058;468.928802;460.591492;413.666473;316.342316;316.243439;218.919281;318.448486;275.845764;379.542419;298.045319;424.971069;438.562622;457.383484;318.481750;397.495117;420.210175;450.220886;244.006851;359.930847;401.908966;189.887299;137.611359;162.319855;154.112152;228.469666;129.859222;167.591507;108.122498;386.459717;126.193077;251.748383;449.466187;410.937988;428.674133;254.468277
HP 10;401.724182;0.000000;541.550476;533.429993;555.008057;567.238770;672.339355;698.676025;705.423584;12.300140;537.578613;467.474731;452.790680;452.386108;430.216919;429.720062;429.800781;23.834612;44.335175;61.939911;80.504929;424.144653;458.733582;485.942719;437.942596;472.834015;498.761536;269.578888;606.611389;631.578125;628.128479;609.563477;682.223083;379.732422;431.352722;285.567047;272.605682;754.290771;407.018219;429.923035;593.274109;509.789978;475.980408;210.872284;309.767242;66.389633;99.753876;89.313385;173.276779;108.725922;127.897766;172.316345;194.093292;134.519791;64.566254;42.587280;30.287142;211.739914;70.329094;235.040024;421.488129;222.787155;191.185791;402.935944;382.964539;420.493011;335.198547;770.723389;549.543030;206.134323;538.096741;30.680061;322.788574;517.327393;376.799469;505.065094;507.384979;373.966675;231.496918;219.009918;446.933533;214.936310;261.215118;366.126282;330.599396;306.247467;335.946350;360.298279;479.307556;345.408691;391.434326;377.054871;435.985626;421.606171;520.072388;510.005371;499.413544;488.268646;581.675659;568.110779;530.297913;515.834839;509.739044;532.483948;404.428467;410.374542;426.529175;451.333710;407.790619;598.756104;546.681763;298.068298;314.434326;240.484360;206.376328;74.160286;365.207397;267.883209;425.898834;328.574677;178.248825;149.329193;239.342743;202.307220;376.511993;390.103546;408.924408;106.693222;689.034485;711.749573;741.760254;304.239838;189.563232;50.249695;576.318481;524.042542;548.751038;540.543335;614.900757;516.290405;554.022766;494.553680;38.715225;512.624268;306.184113;186.913696;67.456871;49.720737;519.592285
HP 100;276.426453;541.550354;0.000000;35.795914;57.373970;69.604706;547.041626;573.378296;580.125854;553.850464;427.573883;74.674484;88.759720;89.350266;111.519455;111.830330;111.935593;565.384949;543.455017;525.850281;507.285278;153.161896;118.572975;91.363831;165.703079;130.811661;104.884132;465.154144;481.313660;506.280396;502.830750;484.265747;556.925354;254.434677;306.054993;481.142303;268.944702;628.993042;146.773880;111.813324;467.976349;384.492249;350.682678;556.633911;455.990417;571.589539;538.225281;585.872559;368.273590;432.824432;466.079437;467.635162;540.639709;515.110596;606.116577;584.137634;562.847168;343.035370;596.586426;556.850769;477.446960;544.597900;437.562256;455.906738;435.935333;304.894043;219.599594;645.425659;424.245300;528.598694;40.462669;556.937378;218.761810;74.919769;324.801941;395.060364;397.380249;429.925507;535.795410;731.573364;321.635803;519.796692;505.615479;609.329468;526.174683;549.450684;579.149536;555.873535;536.443970;401.367523;447.393158;433.013702;491.944458;477.565002;410.067688;400.000641;389.408813;378.263916;471.670929;458.106049;420.293182;405.830109;399.734314;422.479248;412.215546;466.333374;482.488007;507.292542;463.749451;488.751373;436.677032;541.271545;557.637573;562.295105;718.939697;600.417603;418.178192;320.854034;310.299866;212.975723;399.205261;444.648010;427.926575;448.683685;429.482788;443.074341;461.895203;487.283997;563.736755;586.451843;616.462524;248.518600;609.941833;591.800049;466.313751;414.037811;438.746307;430.538605;504.896118;406.285675;444.017944;384.548950;580.265625;402.619507;501.759369;699.477112;609.007263;591.271118;21.958172
HP 101;268.306000;533.429932;35.795914;0.000000;21.578056;33.808796;538.921143;565.257812;572.005371;545.730103;419.453430;66.554054;80.639290;81.229836;103.399025;103.709900;103.815163;557.264587;535.334595;517.729858;499.164856;125.333160;90.744232;63.535091;129.907181;95.015762;69.088226;457.033691;473.193176;498.159912;494.710266;476.145264;548.804871;246.314240;297.934540;473.021851;260.824249;620.872559;138.653442;103.692894;459.855865;376.371796;342.562225;548.513428;447.869995;563.469116;530.104858;577.752075;360.153137;424.704010;457.959015;459.514740;532.519287;506.990143;597.996216;576.017273;554.726807;334.914948;588.466064;548.730286;469.326538;536.477417;429.441772;447.786316;427.814911;296.773621;211.479156;637.305176;416.124817;520.478271;4.666755;548.817017;210.641373;39.123859;316.681488;386.939911;389.259796;421.805084;527.674927;723.452881;313.515350;511.676270;497.495026;601.209106;518.054199;541.330322;571.029175;547.753052;528.323486;393.247101;439.272736;424.893280;483.824036;469.444580;401.947235;391.880188;381.288361;370.143463;463.550476;449.985596;412.172729;397.709656;391.613861;414.358795;404.095093;458.212952;474.367584;499.172119;455.629028;480.630920;428.556580;533.151123;549.517151;554.174622;710.819214;592.297241;410.057770;312.733612;302.179443;204.855286;391.084839;436.527588;419.806152;440.563202;421.362366;434.953918;453.774780;479.163574;555.616272;578.331360;608.342041;240.398163;601.821350;583.679688;458.193298;405.917358;430.625854;422.418152;496.775665;398.165222;435.897491;376.428497;572.145142;394.499054;493.638916;691.356628;600.886902;583.150757;13.837742
HP 102;289.884064;555.007996;57.373974;21.578056;0.000000;55.386852;560.499207;586.835876;593.583435;567.308105;441.031494;88.132118;102.217354;102.807899;124.977089;125.287964;125.393227;578.842590;556.912659;539.307922;520.742920;146.911209;112.322289;85.113144;151.485229;116.593811;90.666283;478.611755;494.771240;519.737976;516.288330;497.723328;570.382935;267.892303;319.512604;494.599915;282.402313;642.450562;160.231506;125.270958;481.433929;397.949860;364.140289;570.091553;469.448059;585.047180;551.682922;599.330139;381.731201;446.282074;479.537079;481.092804;554.097351;528.568237;619.574219;597.595276;576.304810;356.493011;610.044067;570.308411;490.904602;558.055542;451.019836;469.364380;449.392975;318.351685;233.057220;658.883240;437.702881;542.056335;26.244812;570.395020;232.219437;60.701916;338.259552;408.517975;410.837860;443.383148;549.253052;745.031006;335.093414;533.254333;519.073120;622.787109;539.632263;562.908325;592.607178;569.331177;549.901611;414.825165;460.850800;446.471344;505.402100;491.022644;423.525299;413.458252;402.866425;391.721527;485.128540;471.563660;433.750793;419.287720;413.191925;435.936859;425.673157;479.791016;495.945648;520.750183;477.207092;502.208984;450.134644;554.729187;571.095215;575.752747;732.397339;613.875244;431.635834;334.311676;323.757507;226.433350;412.662903;458.105652;441.384216;462.141266;442.940430;456.531982;475.352844;500.741638;577.194336;599.909424;629.920105;261.976227;623.399475;605.257690;479.771362;427.495422;452.203918;443.996216;518.353699;419.743286;457.475555;398.006561;593.723267;416.077118;515.216980;712.934753;622.464905;604.728760;35.415798
HP 103;289.574951;567.238647;69.604706;33.808796;55.386852;0.000000;560.190125;586.526794;593.274353;579.538818;440.722382;100.362862;114.448097;115.038643;137.207825;137.518707;137.623962;591.073303;569.143372;551.538635;532.973633;155.329086;120.740166;93.531021;141.192581;106.301163;80.373634;490.842499;494.462158;519.428894;515.979248;497.414246;570.073853;267.583191;319.203491;506.830658;294.633057;642.141479;172.462250;137.501694;481.124847;397.640747;363.831177;582.322266;481.678802;597.277893;563.913635;611.560852;393.961945;458.512787;491.767792;493.323517;566.328064;540.798950;631.804932;609.825989;588.535522;368.723785;622.274780;582.539124;503.135345;570.286255;463.250610;481.595123;461.623718;330.582428;245.287964;658.574158;437.393799;554.287048;29.142040;582.625732;244.450180;50.409264;337.950439;408.208862;410.528748;455.613892;561.483765;757.261719;334.784302;545.485046;531.303833;635.017944;551.863037;575.139160;604.838013;581.561890;562.132324;427.055908;473.081543;458.702087;517.632812;503.253387;423.216187;413.149139;402.557312;391.412415;484.819427;471.254547;433.441681;418.978607;412.882812;435.627747;425.364044;492.021759;508.176392;532.980896;489.437836;501.899872;449.825531;566.959961;583.325989;587.983459;744.628052;626.105957;443.866577;346.542419;335.988251;238.664093;424.893616;470.336365;453.614990;474.372040;455.171173;468.762726;487.583588;512.972351;576.885254;599.600342;629.611023;274.206970;635.630188;617.488403;479.462250;427.186310;451.894806;443.687103;518.044617;419.434174;457.166443;397.697449;605.953979;415.768005;527.447754;725.165466;634.695618;616.959473;47.646538
HP 104;380.799927;672.339233;547.041565;538.921082;560.499146;560.190063;0.000000;26.336670;138.482025;684.639404;379.434906;472.965881;458.281830;457.877258;435.708069;435.211212;435.291931;696.173889;674.243958;656.639221;638.074219;417.394104;451.983032;479.192169;418.997528;453.888947;479.816467;595.943115;65.727951;40.761211;44.210842;103.746895;29.166786;292.606873;240.986572;611.931274;458.845062;477.288727;400.267670;435.414185;79.065231;232.787964;271.009277;687.422852;574.777710;702.378479;669.014221;716.661438;499.062531;563.613403;596.868408;598.424072;671.428711;645.899536;736.905518;714.926575;693.636108;565.341431;727.375366;687.639709;567.475281;675.386841;568.351135;722.010132;702.038696;581.452759;496.158264;131.108490;272.541016;659.387695;543.587830;687.726318;495.320496;509.780853;429.175415;471.755005;474.074890;519.953857;666.584351;862.362305;365.432007;650.585693;636.404419;740.118530;656.963623;680.239746;709.938599;686.662476;626.472290;491.395844;537.421509;551.800903;581.972778;596.352173;486.762329;476.695282;466.103455;454.958557;423.531952;409.967072;372.154205;357.691132;476.428955;499.173889;488.910187;556.361694;572.516357;597.320862;553.777771;440.612396;388.538055;672.060547;688.426575;693.084045;849.728638;731.206543;684.281494;586.957397;586.858582;489.534393;589.063599;575.436951;650.157532;579.472534;695.586121;709.177734;727.998596;618.072937;35.978188;39.410225;102.145348;514.622009;740.730774;722.588989;418.174774;365.898834;390.607330;382.399628;458.252045;482.980316;520.712585;461.243591;711.054565;479.314148;632.548340;830.266052;739.796204;722.060059;525.083374
HP 106;407.136597;698.675903;573.378235;565.257751;586.835815;586.526733;26.336670;0.000000;112.145355;710.976074;405.771576;499.302551;484.618500;484.213928;462.044739;461.547882;461.628601;722.510559;700.580627;682.975891;664.410889;443.730774;478.319702;505.528839;445.334198;480.225616;506.153137;622.279785;92.064621;67.097885;70.547516;130.083572;16.452919;318.943542;267.323242;638.267944;485.181732;503.625397;426.604340;461.750854;105.401909;259.124634;297.345947;713.759521;601.114380;728.715149;695.350891;742.998108;525.399170;589.950073;623.205078;624.760742;697.765381;672.236206;763.242188;741.263245;719.972778;591.678101;753.712036;713.976379;593.811951;701.723511;594.687805;748.346802;728.375366;607.789429;522.494995;104.771820;298.877686;685.724365;569.924500;714.062988;521.657166;536.117493;455.512085;498.091675;500.411560;546.290527;692.921021;888.698975;391.768677;676.922363;662.741089;766.455200;683.300293;706.576416;736.275269;712.999146;652.808960;517.732544;563.758179;578.137573;608.309448;622.688843;513.098999;503.031952;492.440125;481.295227;449.868622;436.303741;398.490875;384.027802;502.765625;525.510559;515.246826;582.698364;598.853027;623.657532;580.114441;466.949066;414.874725;698.397217;714.763245;719.420715;876.065308;757.543213;710.618164;613.294067;613.195251;515.871094;615.400269;601.773621;676.494202;605.809204;721.922791;735.514404;754.335266;644.409607;9.641518;13.073553;75.808685;540.958679;767.067444;748.925659;444.511444;392.235504;416.944000;408.736298;484.588715;509.316986;547.049255;487.580261;737.391235;505.650818;658.885010;856.602722;766.132874;748.396729;551.420044
HP 109;413.884216;705.423584;580.125916;572.005432;593.583496;593.274353;138.482025;112.145348;0.000000;717.723755;412.519196;506.050171;491.366119;490.961548;468.792358;468.295502;468.376221;729.258240;707.328308;689.723572;671.158569;450.478394;485.067322;512.276489;452.081818;486.973236;512.900757;629.027344;174.352585;159.960190;155.396179;95.860123;109.315231;325.691162;274.070862;645.015503;491.929352;510.373016;433.351959;468.498474;120.541786;265.872253;304.093567;720.507080;607.861938;735.462830;702.098572;749.745789;532.146851;596.697754;629.952759;631.508423;704.512939;678.983887;769.989868;748.010925;726.720459;598.425659;760.459717;720.723938;600.559509;708.471069;601.435486;755.094482;735.123047;614.536987;529.242554;65.299805;305.625305;692.471924;576.672180;720.810669;528.404724;542.865112;462.259705;504.839294;507.159180;553.038086;699.668579;895.446655;398.516296;683.669922;669.488647;773.202759;690.047852;713.323975;743.022827;719.746704;659.556519;524.480103;570.505737;584.885193;615.057007;629.436462;519.846558;509.779572;499.187744;488.042847;456.616241;443.051361;405.238495;390.775421;509.513245;532.258118;521.994507;589.445923;605.600586;630.405090;586.862000;473.696686;421.622345;705.144775;721.510803;726.168274;882.812988;764.290894;717.365845;620.041748;619.942810;522.618652;622.147949;608.521301;683.241882;612.556885;728.670471;742.262085;761.082947;651.157288;102.503830;125.218903;36.336670;547.706299;773.815125;755.673340;451.259064;398.983124;423.691620;415.483917;491.336334;516.064575;553.796875;494.327881;744.138916;512.398438;665.632568;863.350403;772.880554;755.144409;558.167725
HP 11;412.874847;12.300140;553.850525;545.730042;567.308105;579.538818;684.639526;710.976196;717.723755;0.000000;525.278564;479.774841;465.090790;464.686218;442.517029;442.020172;442.100891;20.692675;32.035034;49.639771;68.204788;436.444794;471.033722;498.242859;450.242737;485.134155;511.061676;257.278748;618.911560;643.878296;640.428650;621.863647;694.523254;392.032593;443.652893;273.266907;284.905823;766.590942;419.318359;442.223145;605.574280;522.090149;488.280579;198.572144;297.467133;54.089493;87.453735;77.013245;185.576920;121.026062;115.597626;160.016205;181.793152;122.219650;55.376472;33.397499;27.145205;224.040054;69.920715;222.739883;409.188019;210.487015;203.485931;415.236053;395.264648;432.793121;347.498657;783.023560;561.843201;193.834183;550.396790;42.980202;335.088684;529.627502;364.499359;492.764984;495.084869;361.666565;219.196777;206.709778;459.233704;202.636169;248.914963;353.826111;318.299255;293.947296;323.646179;347.998138;467.007416;333.108582;379.134216;364.754761;423.685516;409.306061;507.772308;497.705261;487.113434;475.968536;569.375549;555.810669;517.997803;503.534729;497.438934;520.183899;392.128357;398.074432;414.229065;439.033600;395.490509;586.455994;534.381653;285.768127;302.134155;228.184219;194.076187;73.751907;377.507507;280.183350;438.198944;340.874786;190.548965;137.029053;251.642883;214.607361;388.812103;402.403656;421.224518;94.393082;701.334656;724.049744;754.060425;316.539948;177.263092;41.059914;564.018372;511.742432;536.450928;528.243225;602.600708;503.990295;541.722595;482.253571;26.415085;500.324127;293.883972;174.613556;58.267086;40.530952;531.892334
