Using Policy Network
 27/69 action selected
 27/58 action selected
 26/52 action selected
 22/54 action selected
 26/55 action selected
 18/44 action selected
 14/41 action selected
 34/69 action selected
 23/49 action selected
 23/44 action selected
 16/41 action selected
 29/69 action selected
 23/55 action selected
 27/55 action selected
 17/50 action selected
 20/42 action selected
 28/69 action selected
 27/59 action selected
 25/60 action selected
 29/56 action selected
 18/48 action selected
 19/56 action selected
 20/43 action selected
 26/42 action selected
 27/69 action selected
 30/61 action selected
 23/53 action selected
 25/56 action selected
 31/69 action selected
 32/55 action selected
 18/54 action selected
 21/48 action selected
 19/42 action selected
 27/69 action selected
 29/57 action selected
 14/49 action selected
 18/41 action selected
 19/44 action selected
 20/56 action selected
 18/41 action selected
 29/69 action selected
 22/54 action selected
 23/41 action selected
 19/42 action selected
 33/69 action selected
 27/54 action selected
 20/44 action selected
 20/41 action selected
 16/42 action selected
 25/69 action selected
 22/60 action selected
 21/54 action selected
 18/46 action selected
 18/44 action selected
 18/45 action selected
 26/54 action selected
 12/41 action selected
 29/69 action selected
 27/58 action selected
 20/44 action selected
 22/55 action selected
 36/69 action selected
 19/52 action selected
 14/42 action selected
 14/42 action selected
 22/56 action selected
 17/41 action selected
 32/69 action selected
 22/49 action selected
 18/41 action selected
 13/41 action selected
 20/54 action selected
 23/54 action selected
 32/69 action selected
 23/55 action selected
 18/42 action selected
 25/43 action selected
 31/69 action selected
 17/52 action selected
 19/45 action selected
 17/44 action selected
 27/69 action selected
 26/62 action selected
 19/52 action selected
 17/43 action selected
 19/43 action selected
 23/69 action selected
 27/51 action selected
 31/69 action selected
 21/58 action selected
 19/46 action selected
 18/43 action selected
 15/42 action selected
 21/42 action selected
 29/69 action selected
 20/59 action selected
 27/53 action selected
 20/42 action selected
 19/42 action selected
 24/69 action selected
 27/59 action selected
 24/46 action selected
 17/43 action selected
 15/43 action selected
 26/69 action selected
 31/60 action selected
 20/47 action selected
 18/42 action selected
 22/41 action selected
 24/56 action selected
 29/69 action selected
 19/56 action selected
 24/51 action selected
 16/46 action selected
 18/45 action selected
 24/55 action selected
 32/69 action selected
 19/51 action selected
 18/42 action selected
 22/56 action selected
 35/69 action selected
 19/59 action selected
 30/55 action selected
 20/43 action selected
 17/41 action selected
 37/69 action selected
 19/49 action selected
 19/46 action selected
 13/47 action selected
 16/45 action selected
 19/41 action selected
 31/69 action selected
 22/48 action selected
 23/42 action selected
 22/69 action selected
 30/62 action selected
 24/53 action selected
 23/52 action selected
 19/41 action selected
 17/41 action selected
 17/42 action selected
 19/41 action selected
 16/41 action selected
 14/41 action selected
 18/42 action selected
 16/43 action selected
 19/42 action selected
 24/55 action selected
 30/56 action selected
 26/55 action selected
 17/41 action selected
 17/42 action selected
 25/55 action selected
 17/41 action selected
 15/41 action selected
 25/54 action selected
 21/42 action selected
 22/42 action selected
 20/41 action selected
 19/41 action selected
 32/54 action selected
 22/54 action selected
 21/42 action selected
 19/42 action selected
 23/41 action selected
 17/42 action selected
 17/41 action selected
 18/41 action selected
 21/41 action selected
 15/41 action selected
 19/55 action selected
 25/44 action selected
 21/54 action selected
 20/42 action selected
 26/55 action selected
 18/42 action selected
 15/41 action selected
 16/42 action selected
 18/41 action selected
 17/42 action selected
 21/54 action selected
--------------------------------
Episode 1
Steps: 181
Cost: 1434.51 → 829.04 (Δ=605.46)
Total reward: 7311.19
Avg candidates: 51.0
Avg logp: -34.8168
--------------------------------

 30/69 action selected
 22/54 action selected
 19/44 action selected
 20/43 action selected
 22/55 action selected
 15/41 action selected
 33/69 action selected
 21/56 action selected
 17/57 action selected
 19/45 action selected
 25/54 action selected
 33/69 action selected
 17/42 action selected
 30/69 action selected
 18/48 action selected
 31/69 action selected
 28/58 action selected
 12/44 action selected
 17/41 action selected
 22/41 action selected
 27/69 action selected
 24/56 action selected
 19/45 action selected
 29/69 action selected
 17/47 action selected
 31/69 action selected
 23/54 action selected
 25/55 action selected
 20/44 action selected
 25/56 action selected
 23/69 action selected
 22/56 action selected
 18/42 action selected
 32/69 action selected
 22/54 action selected
 20/44 action selected
 20/49 action selected
 22/46 action selected
 19/45 action selected
 34/69 action selected
 30/60 action selected
 23/49 action selected
 21/43 action selected
 33/69 action selected
 20/53 action selected
 18/50 action selected
 28/52 action selected
 22/46 action selected
 18/52 action selected
 22/47 action selected
 19/41 action selected
 27/69 action selected
 23/47 action selected
 26/48 action selected
 18/41 action selected
 24/57 action selected
 20/54 action selected
 33/69 action selected
 36/69 action selected
 19/51 action selected
 19/46 action selected
 18/41 action selected
 34/69 action selected
 23/54 action selected
 26/56 action selected
 22/54 action selected
 28/69 action selected
 27/53 action selected
 19/49 action selected
 24/56 action selected
 15/41 action selected
 30/56 action selected
 25/69 action selected
 22/58 action selected
 19/56 action selected
 22/46 action selected
 26/52 action selected
 30/69 action selected
 23/54 action selected
 18/43 action selected
 32/69 action selected
 29/51 action selected
 20/49 action selected
 18/43 action selected
 17/45 action selected
 27/69 action selected
 26/62 action selected
 15/48 action selected
 18/48 action selected
 16/41 action selected
 32/69 action selected
 20/49 action selected
 18/44 action selected
 24/48 action selected
 17/41 action selected
 31/69 action selected
 34/58 action selected
 31/51 action selected
 23/69 action selected
 26/59 action selected
 28/55 action selected
 27/45 action selected
 18/43 action selected
 15/42 action selected
 28/69 action selected
 30/55 action selected
 18/49 action selected
 19/51 action selected
 16/45 action selected
 20/41 action selected
 16/41 action selected
 28/69 action selected
 24/61 action selected
 18/42 action selected
 31/69 action selected
 19/46 action selected
 20/43 action selected
 20/43 action selected
 28/69 action selected
 27/48 action selected
 24/45 action selected
 14/41 action selected
 20/48 action selected
 17/44 action selected
 24/54 action selected
 36/69 action selected
 23/58 action selected
 28/53 action selected
 29/54 action selected
 21/42 action selected
 22/43 action selected
 25/69 action selected
 27/60 action selected
 21/43 action selected
 17/42 action selected
 33/69 action selected
 17/52 action selected
 21/48 action selected
 16/43 action selected
 19/44 action selected
 28/69 action selected
 20/55 action selected
 22/41 action selected
 37/69 action selected
 24/59 action selected
 24/52 action selected
 21/55 action selected
 18/43 action selected
 28/55 action selected
 32/69 action selected
 21/56 action selected
 16/45 action selected
 16/43 action selected
 16/42 action selected
 24/69 action selected
 14/47 action selected
 15/43 action selected
 18/43 action selected
 32/69 action selected
 25/63 action selected
 25/49 action selected
 16/43 action selected
 28/69 action selected
 26/52 action selected
 27/69 action selected
 14/42 action selected
 23/57 action selected
 21/54 action selected
 13/42 action selected
 20/55 action selected
 29/69 action selected
 26/44 action selected
 18/43 action selected
 23/43 action selected
 15/43 action selected
 15/42 action selected
 18/43 action selected
 21/52 action selected
 15/42 action selected
 29/58 action selected
 29/53 action selected
 16/44 action selected
 23/58 action selected
 15/43 action selected
 17/58 action selected
 7/41 action selected
 16/44 action selected
 12/42 action selected
 11/43 action selected
 23/44 action selected
 19/44 action selected
--------------------------------
Episode 2
Steps: 191
Cost: 1468.95 → 808.06 (Δ=660.89)
Total reward: 8511.86
Avg candidates: 52.7
Avg logp: -35.9536
--------------------------------

 29/69 action selected
 36/59 action selected
 28/50 action selected
 25/54 action selected
 17/42 action selected
 20/41 action selected
 29/69 action selected
 29/59 action selected
 28/52 action selected
 29/56 action selected
 20/43 action selected
 24/69 action selected
 19/48 action selected
 30/69 action selected
 27/65 action selected
 23/51 action selected
 12/46 action selected
 22/48 action selected
 23/51 action selected
 27/69 action selected
 20/47 action selected
 28/69 action selected
 19/46 action selected
 33/69 action selected
 19/49 action selected
 36/69 action selected
 27/53 action selected
 26/55 action selected
 28/69 action selected
 25/51 action selected
 18/45 action selected
 20/47 action selected
 21/44 action selected
 32/56 action selected
 24/42 action selected
 19/69 action selected
 39/62 action selected
 21/49 action selected
 21/41 action selected
 30/69 action selected
 19/42 action selected
 36/69 action selected
 22/69 action selected
 23/58 action selected
 31/69 action selected
 21/43 action selected
 30/69 action selected
 20/54 action selected
 24/53 action selected
 35/69 action selected
 24/54 action selected
 13/46 action selected
 22/48 action selected
 18/49 action selected
 32/69 action selected
 24/69 action selected
 25/61 action selected
 23/60 action selected
 18/55 action selected
 23/57 action selected
 37/69 action selected
 24/56 action selected
 21/43 action selected
 29/49 action selected
 18/41 action selected
 23/69 action selected
 20/53 action selected
 18/50 action selected
 22/53 action selected
 25/51 action selected
 26/55 action selected
 27/69 action selected
 26/62 action selected
 16/47 action selected
 18/42 action selected
 30/69 action selected
 26/53 action selected
 21/46 action selected
 18/48 action selected
 14/46 action selected
 20/45 action selected
 28/69 action selected
 21/47 action selected
 17/42 action selected
 40/69 action selected
 33/69 action selected
 22/58 action selected
 17/49 action selected
 19/41 action selected
 29/69 action selected
 27/53 action selected
 24/46 action selected
 24/43 action selected
 15/43 action selected
 20/43 action selected
 36/69 action selected
 19/44 action selected
 21/42 action selected
 33/69 action selected
 27/55 action selected
 23/47 action selected
 15/41 action selected
 28/69 action selected
 24/55 action selected
 23/56 action selected
 18/48 action selected
 18/43 action selected
 31/69 action selected
 14/41 action selected
 33/69 action selected
 28/61 action selected
 18/52 action selected
 21/46 action selected
 22/69 action selected
 22/49 action selected
 31/69 action selected
 23/48 action selected
 16/42 action selected
 30/69 action selected
 17/54 action selected
 24/48 action selected
 20/43 action selected
 30/69 action selected
 27/55 action selected
 16/46 action selected
 23/47 action selected
 24/56 action selected
 23/55 action selected
 31/69 action selected
 17/43 action selected
 29/69 action selected
 26/63 action selected
 29/57 action selected
 27/60 action selected
 17/41 action selected
 21/42 action selected
 21/42 action selected
 29/69 action selected
 25/60 action selected
 20/43 action selected
 20/44 action selected
 35/69 action selected
 19/50 action selected
 11/45 action selected
 21/43 action selected
 20/42 action selected
 20/42 action selected
 27/69 action selected
 28/60 action selected
 21/46 action selected
 29/48 action selected
 27/55 action selected
 27/69 action selected
 24/53 action selected
 23/45 action selected
 15/43 action selected
 19/45 action selected
 21/56 action selected
 23/44 action selected
 34/69 action selected
 16/50 action selected
 21/47 action selected
 16/42 action selected
 34/69 action selected
 26/69 action selected
 25/60 action selected
 15/45 action selected
 18/46 action selected
 19/42 action selected
 24/54 action selected
 12/42 action selected
 14/41 action selected
 15/41 action selected
 26/54 action selected
 17/42 action selected
 22/56 action selected
 24/42 action selected
 16/42 action selected
 11/42 action selected
 20/42 action selected
 24/41 action selected
 25/41 action selected
 22/41 action selected
 19/41 action selected
 26/56 action selected
 23/56 action selected
 22/44 action selected
 22/46 action selected
 18/41 action selected
 19/41 action selected
 19/42 action selected
 17/43 action selected
 16/41 action selected
 21/56 action selected
 27/55 action selected
 23/48 action selected
 18/55 action selected
 12/41 action selected
 21/41 action selected
 12/42 action selected
 25/56 action selected
 26/45 action selected
 15/41 action selected
 17/41 action selected
 17/41 action selected
 21/54 action selected
 14/41 action selected
 25/41 action selected
 14/42 action selected
 19/41 action selected
 20/41 action selected
 16/41 action selected
 27/55 action selected
 24/56 action selected
 15/42 action selected
 19/41 action selected
--------------------------------
Episode 3
Steps: 216
Cost: 1392.43 → 797.01 (Δ=595.42)
Total reward: 12609.73
Avg candidates: 52.4
Avg logp: -35.8428
--------------------------------

